url,final_url,name,description,category,subcategory,image_url,image_source,page_title,meta_description,http_status,status,error,llm_provider
https://www.acres.com,https://www.acres.com,Acres,"Acres is a powerful land research platform that provides nationwide land sales data, listings, plat maps, and parcel-level insights. It is designed for land teams, builders, and real estate professionals to evaluate and act on land opportunities with confidence. The platform centralizes due diligence, enabling users to visualize risks and make informed decisions quickly.",Real Estate,Land,https://www.acres.com/hubfs/Acres%20Thumbnail.png,og,Acres | Analyze and Value Land With Confidence on Acres.com,"Find nationwide land sales data, listings, plat maps, and parcel-level insights all in one powerful land research platform.",200,ok,,openai
https://www.attomdata.com,https://www.attomdata.com,ATTOM,"ATTOM provides comprehensive property data and analytics powered by AI, catering to a wide range of industries including real estate, mortgage, and insurance. Their services include API access, bulk data licensing, and cloud delivery, making it easy for businesses to integrate and utilize property intelligence for various applications such as market analysis and lead generation.",Real Estate,Residential,https://www.attomdata.com/wp-content/uploads/2026/06/market-location-analytics-mobile.svg,og,"Property Data Analytics & AI-Powered Intelligence: API, Bulk, Cloud","Unlock trusted property data and analytics with AI-powered insights. Flexible delivery options including API, bulk licensing, cloud, and MCP server.",200,ok,,openai
https://www.axxess.com,https://www.axxess.com,Axxess,"Axxess is a leading global technology platform for home healthcare, providing a comprehensive ecosystem that supports over 9,000 organizations in delivering high-quality care. Their solutions include home health software, hospice software, and palliative care software, designed to streamline operations and enhance patient care. Axxess also offers training and certification programs to ensure compliance and skill development for healthcare professionals.",Healthcare,Home Health Care,http://www.axxess.com/assets/images/pages/home/Hero_Mobile_Home-Page.jpg,og,The Key to Home Healthcare Success | Home Care Software | Home Health Software | Hospice Software | Palliative Care Software | Axxess,"Axxess is the leading global technology platform for healthcare at home, providing a robust ecosystem that helps more than 9,000 organizations deliver the best quality care.",200,ok,,openai
https://www.beckershospitalreview.com,https://www.beckershospitalreview.com,,,,,,none,,,403,fetch_failed,HTTP 403,openai
https://www.bea.gov,https://www.bea.gov,Bureau of Economic Analysis,"The Bureau of Economic Analysis (BEA) provides essential information about the U.S. economy through the collection, analysis, and dissemination of economic data. Their services are aimed at policymakers, researchers, and the public, offering insights into GDP, personal income, and international trade statistics. The BEA also develops tools for analyzing economic trends and provides data for various economic indicators.",Econometrics,Indicators,https://www.bea.gov/themes/custom/beagov_theme/logo.ico,favicon,U.S. Bureau of Economic Analysis (BEA),,200,ok,,openai
https://www.bls.gov,https://www.bls.gov,Bureau of Labor Statistics,"The Bureau of Labor Statistics is the principal fact-finding agency for the Federal Government in the field of labor economics and statistics. They provide a wealth of data on employment, unemployment, wages, and inflation, making it an essential resource for policymakers, researchers, and businesses looking to understand labor market trends.",Econometrics,Indicators,https://www.bls.gov/images/bls_emblem_2016.png,og,U.S. Bureau of Labor Statistics :  U.S. Bureau of Labor Statistics,The Bureau of Labor Statistics is the principal fact-finding agency for the Federal Government in the broad field of labor economics and statistics.,200,ok,,openai
https://www.burningglassinstitute.org,https://www.burningglassinstitute.org,Burning Glass Institute,"The Burning Glass Institute focuses on advancing data-driven research and practice at the intersection of learning and work. They collaborate with educators, employers, and policymakers to enhance economic mobility and opportunity through skills development. Their research addresses pressing labor market challenges, including talent shortages and the alignment of educational programs with market demands.",People,Education & Skills,http://static1.squarespace.com/static/6197797102be715f55c0e0a1/t/61977a1492d9250ef3704a93/1638382176476/BGI+logo+color%402x.png?format=1500w,og,The Burning Glass Institute,,200,ok,,openai
https://canalys.com,https://canalys.com,Canalys,"Canalys, now Omdia, is a leading global technology market analyst firm that specializes in providing insights and analysis for technology channels and markets. They offer subscription services and custom solutions to help vendors navigate the complexities of the technology ecosystem, focusing on areas such as cloud, infrastructure, and cybersecurity. Their expertise supports businesses in making informed decisions and optimizing their market strategies.",Technology,Software,https://canalys-prod-public.s3.eu-west-1.amazonaws.com/static/banners/hero.webp,og,"Canalys, now Omdia, is a leading global technology market analyst firm.","Canalys, now Omdia, is a leading global technology market analyst firm with a distinct channel focus. We deliver channels and tech analysis, data and events that ensure your business overachieves.",200,ok,,openai
https://www.capitolcanary.com,https://www.capitolcanary.com,,,,,,none,,,0,fetch_failed,"[Errno 8] nodename nor servname provided, or not known",openai
https://carejourney.com,https://carejourney.com,CareJourney,"CareJourney offers healthcare analytics solutions designed to assist providers and payers in making informed decisions regarding network growth and care coordination. Their platform provides insights into market dynamics, patient demographics, and provider performance, enabling organizations to optimize their networks and improve care delivery. With a focus on value-based care, CareJourney supports healthcare organizations in identifying high-need populations and enhancing their operational efficiency.",Healthcare,Health Insurance,https://carejourney.com/wp-content/uploads/2023/02/CJ_UseCases_Indv_Gain-Market-Cohort-Intel-1440x1080-1.png,og,Healthcare Analytics Solutions | CareJourney,"Healthcare analytics solutions help providers and payers make informed decisions for network growth, care coordination, & more.",200,ok,,openai
https://www.cbinsights.com,https://www.cbinsights.com/content/home?pe=experiment_Home+-+pred+vs+sourc+-+july16_variant_original+-+predictive,CB Insights,"CB Insights provides predictive intelligence on private companies, helping corporate strategy and deal teams identify opportunities before the market does. Their platform continuously monitors millions of companies and market signals, offering insights that inform deals, partnerships, and strategic moves. With a focus on early market shifts, CB Insights enables businesses to act with conviction and secure growth opportunities.",Business,Corporations,https://www.cbinsights.com/wp-content/uploads/2025/04/logo_CBI_white.svg,header,,,200,ok,,openai
